"key","response"
"_suspects_Pete Judsen_variations_1_PETE_WHODAUGHTERBF","Tucker Mitts was Betsy's head chef and is my daughter's boyfriend.  He says he loves her, but the guy worked for me for 5 years and I've seen how he is.  In fact.  You guys should take a close look at him.  I could totally see that snake dousing the place in turpentine, lighting a match and riding off into the sunset stinking rich."
"_suspects_Pete Judsen_variations_1_PETE_CATCH_IN_LIE","<emphasis level=""reduced"">I should speak with my lawyer.</emphasis>"
"_suspects_Constance Florentine_hawkins_intro","Meet Constance Florentine, a staple of the Lockhart community and matriarch of her family. "
"_suspects_Constance Florentine_intro","Hi there Sugar. What would you like?"
"_suspects_Constance Florentine_fallback","darlin... I don’t understand."
"_suspects_Constance Florentine_confession","<emphasis level=""strong"">That lady had it coming! Betsy thought a few transgressions from our youth gave her unlimited warrant to terrorize my family, and I had to see to it that it stopped.  I slipped into the back door when i knew she was there, then pushed her into the closet when she wasn't looking and set my problems ablaze.  I'm not sorry either.  This may be the end of my story, but now Pete and Brandi can live their lives without the cloud of Betsy's spite following them around.</emphasis>"
"_suspects_Constance Florentine_general_hints_CONST_WHOGRANDDAUGHTER","Who is your granddaughter?"
"_suspects_Constance Florentine_general_FIRSTNAME","Constance"
"_suspects_Constance Florentine_general_FULLNAME","Constance Florentine"
"_suspects_Constance Florentine_general_NIGHTOF","I was at home reading a book before I went to sleep."
"_suspects_Constance Florentine_general_WHATRELATIONSHIPTOBETSY","A 50 year catalog of backstabbing, undermining and character assassination."
"_suspects_Constance Florentine_general_DIDYOUKILLHER","I most certainly did not. I wished for her to go out of business, not to die."
"_suspects_Constance Florentine_general_ANGRYWITHBETSY","I most certainly was! After the terrible things she's done, I have a right to be."
"_suspects_Constance Florentine_general_HOWLONGKNOWBETSY","Quite a long time. We had known each other for last 50 years."
"_suspects_Constance Florentine_general_WHOKILLEDBETSY","Who knows my dear.  Isn't it your job to figure this out?."
"_suspects_Constance Florentine_general_CONST_WHOGRANDDAUGHTER","Brandi Lynn Michelle Judsen is my granddaughter.  Such a sweet and smart young woman. Just a bit rough around the edges."
"_suspects_Constance Florentine_general_TELLABOUTBRANDI","Brandi Lynn Michelle Judsen is my granddaughter.  Such a sweet and smart young woman. Just a bit rough around the edges."
"_suspects_Constance Florentine_general_CONST_WHOSON","Pete is my son. And he was Betsy's main competitor. I was so proud of him, And then that old witch put him out of business."
"_suspects_Constance Florentine_general_TELLABOUTPETE","Pete is my son. And he was Betsy's main competitor. I was so proud of him, And then that old witch put him out of business."
"_suspects_Constance Florentine_general_CONST_WHOGDBOYFRIEND","Tucker Mitts is  that hoodlum short order cook my granddaughter has been spending her time with."
"_suspects_Constance Florentine_general_TELLABOUTTUCKER","Tucker Mitts is  that hoodlum short order cook my granddaughter has been spending her time with."
"_suspects_Constance Florentine_general_WHATBETSYDOBRANDI","That spiteful old woman humiliated her in public, then fired her. Such a classless thing to do if you ask me."
"_suspects_Constance Florentine_general_TELLABOUTCONSTANCE","My dear.  Are you feeling alright?."
"_suspects_Constance Florentine_general_CONST_WHYTUCKERTHRILLED","He worked for Pete before Betsy's. Pete hired tucker when he was just a stray scraggly puppy and taught him everything he knew.
Then Betsy came traipsing  in one day, offered him equity and rights on the insurance policy and he was out like he and Pete had never met. Now he's simply cashing in, you see.<break time=""1s"" /> You really ought to speak with him about it."
"_suspects_Constance Florentine_general_CONST_WHATSTRATEGY","Betsy thought she could just buy her way into business by stealing Tucker, then buying some fancy BBQ recipe.  It was shameful that she could be so flippant and have such success at Pete's expense.  I simply suggested that Brandi Lynn, while working there, glance at the recipe, and tell her dear old grandmother what it was. But when Betsy found out Brandi Lynn is Pete's daughter she simply lost her mind and fired dear Brandi."
"_suspects_Constance Florentine_general_CONST_YOUANDBETSYHATE","Well I grew up wealthier than most, I'll admit it. Betsy was the child of my family's maid. I maybe teased her a bit, but it was so easy and harmless.  We used to hide her clothes while she was swimming and poke fun at the way she talked. It was just innocent kids stuff. But Betsy seemed to get madder and madder about it as each year passed.  Some people can be so small minded. The things she's done in retaliation over the years outweigh anything I did to her as a child. "
"_suspects_Constance Florentine_general_WHYCONSTBETSYHATEEACHOTHER","Well I grew up wealthier than most, I'll admit it. Betsy was the child of my family's maid. I maybe teased her a bit, but it was so easy and harmless.  We used to hide her clothes while she was swimming and poke fun at the way she talked. It was just innocent kids stuff. But Betsy seemed to get madder and madder about it as each year passed.  Some people can be so small minded. The things she's done in retaliation over the years outweigh anything I did to her as a child. "
"_suspects_Constance Florentine_general_BETSYDOSOMETHINGTOYOU","Well, for starters she put my son out of business."
"_suspects_Constance Florentine_general_CONST_WHATTERRIBLETHINGS","Well, for starters she put my son out of business."
"_suspects_Constance Florentine_general_CONST_WHATELSEBETSYDO","Once she filled my pillow with hair coloring.  I woke up and half of my head was bright green.  Betsy has been a deviant for decades."
"_suspects_Constance Florentine_general_CONST_WHATREADING","My dear. Does the book that I read before I close my eyes each night make a difference in this case? I'm reading murder on the orient express."
"_suspects_Constance Florentine_general_CONST_HOWSONOUTOFBUSINESS","He had the most popular BBQ joint in town, until Betsy opened one up to compete with him. She stole Pete's chef then started stealing his customers. Now my poor boy is shutting down.  He's really a gentleman.  You should speak with him."
"_suspects_Constance Florentine_general_CONST_WHYNOLIKETUCKER","He used to work for my son. Until he abandoned us and went to work for Betsy."
"_suspects_Constance Florentine_general_WHATRECIPE","Betsy thought she could just buy her way into business by stealing Tucker, then buying some fancy BBQ recipe.  It was shameful that she could be so flippant and have such success at Pete's expense.  I simply suggested that Brandi Lynn, while working there, glance at the recipe, and tell her dear old grandmother what it was. But when Betsy found out Brandi Lynn is Pete's daughter she simply lost her mind and fired dear Brandi."
"_suspects_Constance Florentine_general_CONST_WHYWANTBETSYOUTOFBIZ","Her restaurant was ruining my son's business to the point that he's shutting down next week"
"_suspects_Constance Florentine_general_CONST_HOWBETSYHUMILIATEBRANDI","Betsy was frothing at the mouth, yelling at my poor Brandy in front of every guest the restaurant.  I think alot of people learned what type of woman Betsy was that day."
"_suspects_Constance Florentine_general_CONST_WHATTIMETOSLEEP","These days i'm asleep before 10, whether i want to be or not."
"_suspects_Constance Florentine_general_CONST_WHATTALKABOUTWITHGD","darlin.  I didn't say I spoke with my granddaughter"
"_suspects_Constance Florentine_general_CONST_WHEREGDDRIVING","I don't know what you're talking about.  I didn't say my granddaughter was driving."
"_suspects_Constance Florentine_general_CONST_WHATTIMEGDCALL","What are you talking about?"
"_suspects_Constance Florentine_general_CONST_WHYGDFIRED","That old witch didn't need a reason.  She was rotten to everyone."
"_suspects_Constance Florentine_general_WHENLASTSEEBETSY","It's been a few weeks.  But it's never a long enough time that passes between when I see that woman."
"_suspects_Constance Florentine_general_CONST_CATCH_IN_LIE","My dear I haven't the foggiest what you're talking about."
"_suspects_Constance Florentine_variations_0_NIGHTOF","I was at home reading a book before I went to sleep. I spoke with my granddaughter around 8:30.  She was out driving."
"_suspects_Constance Florentine_variations_0_CONST_WHOGRANDDAUGHTER","Brandi Lynn Michelle Judsen is my granddaughter.  Such a sweet and smart young woman. Just a bit rough around the edges.  She even called her dear old grandmother last night while she was driving around."
"_suspects_Constance Florentine_variations_0_TELLABOUTBRANDI","Brandi Lynn Michelle Judsen is my granddaughter.  Such a sweet and smart young woman. Just a bit rough around the edges.  She even called her dear old grandmother last night while she was driving around."
"_suspects_Constance Florentine_variations_0_CONST_WHEREGDDRIVING","She didn't say where she was headed. Just that she had left from her boyfriend's place. You should ask him."
"_suspects_Constance Florentine_variations_0_CONST_WHATTIMEGDCALL","Around 8:30. Poor thing. She sounded like she was driving somewhere. "
"_suspects_Constance Florentine_variations_0_CONST_WHYGDFIRED","That old witch didn't need a reason.  She was rotten to everyone. Maybe that's why Brandi Lynn was so upset when she called me last night."
"_suspects_Constance Florentine_variations_0_CONST_WHATTALKABOUTWITHGD","Oh nothing in particular.  Just a nice chat."
"_suspects_Constance Florentine_variations_2_NIGHTOF","I was helping my son at his restaurant. Poor thing is going out of business."
"_suspects_Constance Florentine_variations_2_TELLABOUTPETE","Pete is my son. And he was Betsy's main competitor. I was so proud of him, And then that witch put him out of business. He was so upset when I saw him at his restaurant last night."
"_suspects_Constance Florentine_variations_2_CONST_WHOSON","Pete is my son. And he was Betsy's main competitor. I was so proud of him, And then that witch put him out of business. He was so upset when I saw him at his restaurant last night."
"_suspects_Constance Florentine_variations_2_CONST_CATCH_IN_LIE","<emphasis level=""strong""><emphasis level=""strong"">I said what I said and that's the end of it!  I don't need to keep your stories straight for you, you little peon!</emphasis></emphasis>"
"_suspects_Constance Florentine_variations_3_WHOKILLEDBETSY","Who knows my dear.  Isn't it your job to figure this out? I'll bet whoever killed her knows that restaurant pretty well, though.  Betsy was too paranoid to let any random miscreant sneak up on her."
